Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",139.687000,-103.377000,180.000000,bottom
"C2","1uF","C_0603_1608Metric",140.970000,-88.278000,-90.000000,bottom
"C3","1uF","C_0603_1608Metric",140.970000,-91.338400,90.000000,bottom
"D1","DF04S-E3","DF04S-E3_77",156.438600,-86.639400,90.000000,bottom
"IC1","ESP32-C6-MINI-1-N4","ESP32-C6-MINI-1-N4",150.700400,-102.476200,90.000000,bottom
"J3","61300411121","61300411121",133.705600,-98.679000,-90.000000,bottom
"R2","10kOhm","R_0603_1608Metric",142.240000,-102.399600,90.000000,bottom
"R5","10kOhm","R_0603_1608Metric",139.687000,-101.599000,0.000000,bottom
"R6","10kOhm","R_0603_1608Metric",142.240000,-98.171000,-90.000000,bottom
"S1","Reset","SW_SPST_B3U-1000P",139.776200,-106.716600,90.000000,bottom
"S2","Boot","SW_SPST_B3U-1000P",139.776200,-98.180400,-90.000000,bottom
"U1","AMS1117CD-3.3","TO-252-2",136.277000,-88.070400,-90.000000,bottom
