Ref,Val,Package,PosX,PosY,Rot,Side
"J1","PJ-102A","PJ-102AH",142.316200,-84.963000,0.000000,top
"J2","S4B-ZR-SM4A","S4B-ZR-SM4A-TF-LF",146.989800,-115.011200,0.000000,top
"Q1","DPAK3-CASE-369AS","FDD8880",142.417800,-106.765450,180.000000,top
"Q2","DPAK3-CASE-369AS","FDD8880",149.606000,-106.781600,180.000000,top
"Q3","DPAK3-CASE-369AS","FDD8880",156.901800,-106.780800,180.000000,top
"R1","10kOhm","R_0603_1608Metric",143.433800,-96.774000,-90.000000,top
"R2","10kOhm","R_0603_1608Metric",141.782800,-96.774000,-90.000000,top
"R3","10kOhm","R_0603_1608Metric",150.749000,-96.773000,-90.000000,top
"R4","10kOhm","R_0603_1608Metric",149.072600,-96.774000,-90.000000,top
"R5","10kOhm","R_0603_1608Metric",157.638400,-96.773200,-90.000000,top
"R6","10kOhm","R_0603_1608Metric",155.987400,-96.773200,-90.000000,top
